Strategy,RSI2,,,,,,,,,
Exchange,Binance,,,,,,,,,
Symbol,ETH-USDT,,,,,,,,,
Warmup,400,,,,,,,,,
Starting Capital,100000,,,,,,,,,
Leverage Mode,Isolated,,,,,,,,,
Leverage (x),10,,,,,,,,,
Risk percent,3%,,,,,,,,,
DateTime,2020-03-01 => 2022-01-31,,,,,,,,,
Pyramiding,(1;5),,,,,,,,,
,,,,,,,,,,
Timeframe,1m,3m,5m,15m,30m,45m,1h,2h,3h,4h
Total Closed Trades,253,261,232,213,189,167,164,129,122,106
Total Net Profit,69595.54 (69.6%),-330.25 (-0.33%),140890.77 (140.89%),42922.09 (42.92%),54620.23 (54.62%),78069.71 (78.07%),25046.85 (25.05%),15993.91 (15.99%),25358.27 (25.36%),52837.12 (52.84%)
Starting => Finishing Balance,100000 => 169595.54,100000 => 99669.75,100000 => 240890.77,100000 => 142922.09,100000 => 154620.23,100000 => 178069.71,100000 => 125046.85,100000 => 115993.91,100000 => 125358.27,100000 => 152837.12
Open Trades,1,1,1,1,1,1,1,1,1,1
Total Paid Fees,0,0,0,0,0,0,0,0,0,0
Max Drawdown,-23.70%,-26.16%,-16.28%,-26.55%,-17.31%,-19.73%,-16.04%,-18.78%,-13.77%,-15.71%
Annual Return,31.66%,-0.17%,58.05%,20.44%,25.47%,35.04%,12.34%,8.03%,12.30%,24.72%
Expectancy,275.08 (0.28%),-1.27 (0%),607.29 (0.61%),201.51 (0.2%),289 (0.29%),467.48 (0.47%),152.72 (0.15%),123.98 (0.12%),207.85 (0.21%),498.46 (0.5%)
Avg Win | Avg Loss,3125.1 | 3255.92,2360.42 | 2570.78,3434.11 | 3397.38,2726.66 | 3183.84,2986.69 | 3386.62,3174.19 | 3192.29,2506 | 2854.24,2508.08 | 2704.6,2602.34 | 2709.06,2869.81 | 2975.84
Ratio Avg Win / Avg Loss,134.14,-168.41,3539.2,1447.04,-3371.17,-4126.76,-2398.5,-1603.28,3195.12,-1020.42
Win-rate,55.34%,52.11%,58.62%,57.28%,57.67%,57.49%,56.10%,54.26%,54.92%,59.43%
Longs | Shorts,56.92% | 43.08%,55.56% | 44.44%,55.17% | 44.83%,56.81% | 43.19%,55.56% | 44.44%,58.68% | 41.32%,56.1% | 43.9%,59.69% | 40.31%,58.2% | 41.8%,58.49% | 41.51%
Avg Holding Time,66h 14m 35.1s,63h 40m 47.82s,71h 6m 41.64s,74h 40m 51.27s,80h 4m 11.11s,87h 14m 16.89s,84h 50m 57.44s,93h 45m 23.26s,89h 7m 33.93s,92h 4m 45.28s
Winning Trades Avg Holding Time,71h 35m 40.29s,64h 52m 5.29s,72h 47m 17.21s,70h 31m 22.62s,79h 21m 50.64s,93h 43m 36.25s,87h 39m 15s,93h 57m 38.57s,94h 18m 39.4s,96h 52m 40.95s
Losing Trades Avg Holding Time,59h 36m 46.73s,62h 23m 13.92s,68h 44m 11.25s,80h 15m 19.12s,81h 1m 52.5s,78h 27m 52.39s,81h 15m 55s,93h 30m 50.85s,82h 48m 36s,85h 2m 54.42s
Sharpe Ratio,1.04,0.15,1.61,0.78,0.96,1.29,0.59,0.45,0.64,1.21
Calmar Ratio,1.34,-0.01,3.56,0.77,1.47,1.78,0.77,0.43,0.89,1.57
Sortino Ratio,1.66,0.22,2.65,1.2,1.43,1.9,0.85,0.64,0.89,1.77
Omega Ratio,1.17,1.02,1.28,1.12,1.14,1.2,1.09,1.07,1.11,1.22
Winning Streak,9,8,8,8,7,8,8,6,5,6
Losing Streak,6,5,5,5,5,5,4,5,5,4
Largest Winning Trade,6293.87,3288.15,6960.8,4322.77,4851.12,5292.4,3703.12,3295.02,3554.84,4429.25
Largest Losing Trade,-6305.01,-3339.76,-7282.18,-4510.94,-5027.4,-5423.35,-3756.82,-3430.24,-3819.87,-3886.89
Total Winning Trades,140,136,136,122,109,96,92,70,67,63
Total Losing Trades,113,125,96,91,80,71,72,59,55,43