Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Long,2020-03-02 19:00,224.70,44.5037,-4721.40,-47.21,-4721.40,-4.72,1211.84,12.12,6172.66,61.73
1,Exit Long,Take Profit,2020-03-13 07:00,118.61,44.5037,-4721.40,-47.21,-4721.40,-4.72,1211.84,12.12,6172.66,61.73
2,Entry Long,Long,2020-03-09 07:00,199.43,22,-1778.04,-40.53,-6499.44,-1.87,202.18,4.61,2495.46,56.88
2,Exit Long,Take Profit,2020-03-13 07:00,118.61,22,-1778.04,-40.53,-6499.44,-1.87,202.18,4.61,2495.46,56.88
3,Entry Long,Long,2020-03-09 23:00,194.63,33,-2508.66,-39.06,-9008.10,-2.68,381.81,5.94,3584.79,55.81
3,Exit Long,Take Profit,2020-03-13 07:00,118.61,33,-2508.66,-39.06,-9008.10,-2.68,381.81,5.94,3584.79,55.81
4,Entry Long,Long,2020-03-12 11:00,183.02,49,-3156.09,-35.19,-12164.19,-3.47,1.96,0.02,4753.98,53.01
4,Exit Long,Take Profit,2020-03-13 07:00,118.61,49,-3156.09,-35.19,-12164.19,-3.47,1.96,0.02,4753.98,53.01
5,Entry Long,Long,2020-03-12 15:00,171.65,74,-3924.96,-30.9,-16089.15,-4.47,52.54,0.41,6338.10,49.9
5,Exit Long,Take Profit,2020-03-13 07:00,118.61,74,-3924.96,-30.9,-16089.15,-4.47,52.54,0.41,6338.10,49.9
6,Entry Long,Long,2020-03-19 03:00,116.07,72.2995,1373.69,16.37,-14715.46,1.64,2637.49,31.43,103.39,1.23
6,Exit Long,Take Profit,2020-03-23 19:00,135.07,72.2995,1373.69,16.37,-14715.46,1.64,2637.49,31.43,103.39,1.23
7,Entry Long,Long,2020-03-24 07:00,135.89,62.7461,48744.31,571.68,34028.85,57.15,48744.31,571.68,757.97,8.89
7,Exit Long,Take Profit,2021-01-03 19:00,912.74,62.7461,48744.31,571.68,34028.85,57.15,48744.31,571.68,757.97,8.89
8,Entry Long,Long,2021-01-14 03:00,1102.02,12.1614,6036.43,45.04,40065.29,4.5,11435.61,85.33,726.16,5.42
8,Exit Long,Take Profit,2021-02-23 19:00,1598.38,12.1614,6036.43,45.04,40065.29,4.5,11435.61,85.33,726.16,5.42
9,Entry Long,Long,2021-03-01 19:00,1524.95,9.1848,10973.63,78.35,51038.91,7.83,26156.20,186.75,765.00,5.46
9,Exit Long,Take Profit,2021-05-20 11:00,2719.71,9.1848,10973.63,78.35,51038.91,7.83,26156.20,186.75,765.00,5.46
10,Entry Long,Long,2021-05-24 19:00,2367.66,6.379,1686.22,11.16,52725.14,1.12,2438.95,16.15,223.39,1.48
10,Exit Long,Take Profit,2021-05-25 19:00,2632.00,6.379,1686.22,11.16,52725.14,1.12,2438.95,16.15,223.39,1.48
11,Entry Long,Long,2021-05-31 15:00,2450.30,,,,,,,,,
11,Exit Long,Open,,,,,,,,,,,
12,Entry Long,Long,2021-06-19 03:00,2154.42,,,,,,,,,
12,Exit Long,Open,,,,,,,,,,,
13,Entry Long,Long,2021-06-20 19:00,2074.28,,,,,,,,,
13,Exit Long,Open,,,,,,,,,,,
14,Entry Long,Long,2021-06-21 15:00,2012.53,,,,,,,,,
14,Exit Long,Open,,,,,,,,,,,
15,Entry Long,Long,2021-06-21 19:00,1969.50,,,,,,,,,
15,Exit Long,Open,,,,,,,,,,,